"Colorful GeForce RTX 3080 Advanced OC 10G-V";205 000 р.
"Asus GeForce RTX 3080 TUF GAMING 12GB";0
"Asus GeForce RTX 3080 ROG Strix 12GB";0
"Colorful GeForce RTX 3080 Vulcan OC 10G LHR-V";209 800 р.
"MSI GeForce RTX 3080 VENTUS 3X PLUS 12G LHR";0
"Gigabyte GeForce RTX 3080 AORUS XTREME WATERFORCE WB 10G";224 196 р.
"Gigabyte GeForce RTX 3080 AORUS XTREME WATERFORCE 12G LHR";0
"Gigabyte GeForce RTX 3080 Ti AORUS XTREME WATERFORCE 12G";241 100 р.
"ZOTAC GeForce RTX 3080 AMP Extreme Holo LHR 12GB";0
"Gigabyte GeForce RTX 3080 Ti AORUS XTREME WATERFORCE WB 12G";290 280 р.
"Gigabyte GeForce RTX 3080 AORUS XTREME WATERFORCE WB 12G LHR";0
"KFA2 GeForce RTX 3080 Ti 38IOM5MD99DK";175 000 р.
"Gigabyte GeForce RTX 3080 TURBO 10G";227 690 р.
"Asus GeForce RTX 3080 Ti ROG STRIX LC OC";249 990 р.
"Gigabyte GeForce RTX 3080 EAGLE LHR 10G";203 966 р.
"MSI GeForce RTX 3080 SEA HAWK X 10G LHR";169 141 р.
"Gigabyte GeForce RTX 3080 AORUS XTREME 10G";150 000 р.
"Palit GeForce RTX 3080 GameRock OC";230 000 р.
"MSI GeForce RTX 3080 SUPRIM X 10G LHR";165 960 р.
"EVGA GeForce RTX 3080 FTW3 ULTRA GAMING";148 000 р.
"EVGA GeForce RTX 3080 Ti XC3 ULTRA GAMING";187 990 р.
"Colorful GeForce RTX 3080 Ti Advanced OC-V";197 500 р.
"INNO3D GeForce RTX 3080 Ti ICHILL X4";195 990 р.
"INNO3D GeForce RTX 3080 ICHILL X3 LHR";162 374 р.
"Colorful GeForce RTX 3080 Vulcan OC 10G-V";199 990 р.
"MSI GeForce RTX 3080 VENTUS 3X 10G LHR";167 014 р.
"Gigabyte GeForce RTX 3080 Ti AORUS XTREME 12G";233 490 р.
"EVGA GeForce RTX 3080 FTW3 GAMING";150 000 р.
"EVGA GeForce RTX 3080 XC3 GAMING";178 500 р.
"Gigabyte GeForce RTX 3080 AORUS XTREME WATERFORCE 10G";250 964 р.
"KFA2 GeForce RTX 3080 Ti 38IOM5MD3BHK";225 785 р.
"EVGA GeForce RTX 3080 XC3 ULTRA GAMING";170 830 р.
"EVGA GeForce RTX 3080 XC3 ULTRA HYBRID GAMING";166 597 р.
"EVGA GeForce RTX 3080 XC3 BLACK GAMING";178 500 р.
"EVGA GeForce RTX 3080 XC3 BLACK GAMING LHR";173 500 р.
"Asus GeForce RTX 3080 EKWB";238 990 р.
"MSI GeForce RTX 3080 SUPRIM 10G";170 620 р.
"Asus GeForce RTX 3080 ROG STRIX GUNDAM";0
"Gainward GeForce RTX 3080 Phantom";0
"Asus GeForce RTX 3080 Ti ROG STRIX";197 750 р.
"Gainward GeForce RTX 3080 Phoenix GS V1 LHR";0
"Colorful GeForce RTX 3080 Ti Vulcan OC-V";176 900 р.
"Gainward GeForce RTX 3080 Ti Phoenix";0
"Gainward GeForce RTX 3080 Phantom GS V1 LHR";0
"KFA2 GeForce RTX 3080 38NWM3MD99NK";0
"Asus GeForce RTX 3080 ROG STRIX GAMING";203 690 р.
"Colorful GeForce RTX 3080 Ultra OC 10G-V";200 800 р.
"INNO3D GeForce RTX 3080 TWIN X2 OC LHR";0
"INNO3D GeForce RTX 3080 TI X3";0
"MSI GeForce RTX 3080 SUPRIM SE 10G";0
"Asus GeForce RTX 3080 ROG STRIX GAMING WHITE";211 920 р.
"MSI GeForce RTX 3080 SEA HAWK 10G LHR";0
"Colorful GeForce RTX 3080 Neptune OC 10G-V";153 720 р.
"MSI GeForce RTX 3080 GAMING TRIO 10G";125 000 р.
"MSI GeForce RTX 3080 SUPRIM SE 10G LHR";0
"MSI GeForce RTX 3080 GAMING X TRIO 10G";227 990 р.
"INNO3D GeForce RTX 3080 TWIN X2 OC";98 000 р.
"INNO3D GeForce RTX 3080 ICHILL X4";172 652 р.
"INNO3D GeForce RTX 3080 ICHILL X3";212 982 р.
"INNO3D GeForce RTX 3080 ICHILL FROSTBITE";0
"Leadtek GeForce RTX 3080 HURRICANE";0
"Asus GeForce RTX 3080 ROG STRIX V2 White LHR";0
"INNO3D GeForce RTX 3080 ICHILL FROSTBITE LHR";0
"MSI GeForce RTX 3080 GAMING TRIO PLUS 10G LHR";0
"EVGA GeForce RTX 3080 FTW3 ULTRA HYBRID GAMING";188 676 р.
"Colorful GeForce RTX 3080 Ultra W OC 10G LHR-V";0
"ZOTAC GeForce RTX 3080 Ti AMP Extreme Holo";166 000 р.
"Colorful GeForce RTX 3080 Neptune OC 10G LHR-V";0
"PNY GeForce RTX 3080 Ti 12GB XLR8 Gaming UPRISING";0
"PNY GeForce RTX 3080 10GB XLR8 Gaming REVEL EPIC-X";183 460 р.
"EVGA GeForce RTX 3080 FTW3 ULTRA HYDRO COPPER GAMING";219 990 р.
"PNY GeForce RTX 3080 10GB XLR8 Gaming UPRISING EPIC-X";0
"ZOTAC GeForce RTX 3080 Trinity OC White Edition";0
"EVGA GeForce RTX 3080 Ti FTW3 ULTRA HYBRID GAMING";149 470 р.
"ZOTAC GeForce RTX 3080 Trinity OC White Edition LHR";0
